id,sourceNo,location,locationCode,locationNo,localName,scientificName,family,usedParts,processing,plantCategories,plantCategoryCount,diseaseCategories,diseaseCategoryCount
100,88,Fakultas Kedokteran,FK,46,Buni,Antidesma bunius (L.) Spreng.,Phyllanthaceae,Buah; daun; akar; biji; bagian aerial.,"Buah dikonsumsi segar atau diolah menjadi jus, selai, minuman fermentasi, dan serbuk. Akar atau daun digunakan sebagai dekokta dalam tradisi; penelitian menggunakan ekstrak air, etanol, alkohol, dan fraksi pada uji in vitro atau model hewan. Metode penelitian tidak disamakan dengan anjuran terapi manusia.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),7
101,89,Fakultas Kedokteran,FK,47,Song of India,Dracaena reflexa Lam.,Asparagaceae,Daun; kulit batang; bagian aerial atau bahan tanaman utuh yang diekstraksi.,"Bahan tanaman dimaserasi dengan metanol dan dipartisi menjadi fraksi n-heksana, kloroform, dan n-butanol. Ekstrak/fraksi dianalisis dengan GC–MS serta diuji in vitro untuk antioksidan, antibakteri, trombolitik, penghambatan tirosinase, asetilkolinesterase, dan butirilkolinesterase; docking digunakan sebagai pendukung mekanistik.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,4
102,90,Fakultas Kedokteran,FK,48,Ketapang kencana,Terminalia mantaly H.Perrier,Combretaceae,Daun; kulit batang; akar,"Serbuk kering daun, kulit batang, dan akar dimaserasi dengan air atau metanol; ekstrak tertentu difraksinasi dengan heksana, kloroform, dan etil asetat; kulit batang juga diekstraksi dan diisolasi secara kromatografi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin; Penyakit Infeksi,2
103,91,Fakultas Kedokteran,FK,49,Glodokan tiang,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,Annonaceae,Daun; kulit batang dan batang; akar; buah; biji.,"Literatur menggunakan nama lama Polyalthia longifolia dan merangkum infusa/dekokta tradisional, ekstrak air, etanol, metanol, dan pelarut lain, fraksinasi serta isolasi senyawa, kemudian pengujian in vitro dan pada hewan. Buah/bagian tertentu juga dibahas dalam konteks nutrisi atau pakan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
104,92,Fakultas Kedokteran,FK,50,Palem macarthur,Ptychosperma macarthurii (H.Wendl. ex H.J.Veitch) H.Wendl. ex Hook.f.,Arecaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
105,93,Fakultas Kedokteran,FK,51,Kemenyan,Styrax sp.,Styracaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
106,94,Fakultas Kedokteran,FK,52,Bunga kupu-kupu,Bauhinia purpurea L.,Fabaceae,Daun; kulit batang; akar; bunga; buah/polong; biji.,"Penggunaan tradisional mencakup rebusan, serbuk, atau pasta bagian tanaman. Penelitian menggunakan ekstrak air, etanol/metanol dan pelarut lain, fraksinasi, isolasi senyawa, serta uji in vitro dan model hewan; bunga dan biji juga dibahas sebagai bahan pangan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
107,95,Fakultas Kedokteran,FK,53,Bunga kupu-kupu,Bauhinia purpurea L.,Fabaceae,Daun; kulit batang; akar; bunga; buah/polong; biji.,"Penggunaan tradisional mencakup rebusan, serbuk, atau pasta bagian tanaman. Penelitian menggunakan ekstrak air, etanol/metanol dan pelarut lain, fraksinasi, isolasi senyawa, serta uji in vitro dan model hewan; bunga dan biji juga dibahas sebagai bahan pangan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
108,96,Fakultas Kedokteran,FK,54,Crossandra,Crossandra infundibuliformis (L.) Nees,Acanthaceae,Daun; bunga.,"Daun dan bunga diekstraksi berturut-turut dengan petroleum eter, etil asetat, dan metanol; ekstrak diuji in vitro terhadap Mycobacterium tuberculosis. Metode penelitian ini bukan anjuran penggunaan manusia.",Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
109,97,Fakultas Ekonomi dan Bisnis,FEB,1,Anggur,Vitis vinifera L.,Vitaceae,Buah; kulit buah; biji; daun; sulur; batang/cane; pomace.,"Buah dikonsumsi segar atau diolah. Bagian lain dibuat sebagai ekstrak air, etanol, metanol, atau hidroalkohol, kemudian dapat difraksinasi dan diuji in vitro maupun in vivo; review juga merangkum penggunaan tradisional dan pangan fungsional.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),11
110,98,Fakultas Ekonomi dan Bisnis,FEB,2,Rambutan,Nephelium lappaceum L.,Sapindaceae,Daging buah/aril; kulit buah/perikarp; biji.,"Daging buah matang dikonsumsi segar sebagai pangan. Kulit buah dikeringkan dan diserbukkan, lalu diekstraksi menggunakan air, etanol, metanol, atau campuran pelarut; ekstrak diberikan oral pada model hewan atau diuji in vitro. Ekstrak kulit dan geraniin juga diformulasikan untuk pengujian topikal pada iritasi kulit; metode penelitian ini bukan anjuran penggunaan mandiri.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Endokrin; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi,5
111,99,Fakultas Ekonomi dan Bisnis,FEB,3,Bambu raksasa,Dendrocalamus giganteus Munro,Poaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,3,,0
112,100,Fakultas Ekonomi dan Bisnis,FEB,4,Cabai rawit,Capsicum frutescens L.,Solanaceae,Buah.,"Buah dikonsumsi sebagai bumbu atau sayuran. Dalam penelitian, buah beberapa genotipe diekstraksi untuk analisis fenolik dan flavonoid, aktivitas antioksidan, serta penghambatan α-glukosidase in vitro. Ekstrak pekat tidak disamakan dengan konsumsi kuliner.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Endokrin,1
113,101,Fakultas Ekonomi dan Bisnis,FEB,5,Sri rezeki,Aglaonema commutatum Schott,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
114,102,Fakultas Ekonomi dan Bisnis,FEB,6,Ravenia,Ravenia spectabilis (Lindl.) Engl.,Rutaceae,Daun.,"Daun dimaserasi dengan metanol; ekstrak dipartisi menjadi fraksi petroleum eter, karbon tetraklorida, kloroform, dan air. Senyawa diisolasi dan fraksi diuji antioksidan, antibakteri, serta trombolitik secara in vitro.",Tanaman Obat; Tanaman Estetik,2,Gangguan Hematologi; Penyakit Infeksi,2
115,103,Fakultas Ekonomi dan Bisnis,FEB,7,Kersen,Muntingia calabura L.,Muntingiaceae,Akar; kulit batang dan batang; daun; bunga; buah.,"Buah dikonsumsi segar atau diolah sebagai selai/pangan. Daun, akar, bunga, dan kulit batang dibuat infusa/dekokta, teh, atau sediaan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk uji in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
116,104,Fakultas Ekonomi dan Bisnis,FEB,8,Mangga,Mangifera indica L.,Anacardiaceae,Akar; kulit batang; daun; bunga; buah dan daging buah; kulit buah; biji/kernel; getah/lateks.,"Buah dikonsumsi segar atau sebagai jus dan produk pangan. Daun, kulit batang, kulit buah, akar, bunga, dan kernel dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, hidroalkohol, dan pelarut lain. Fraksi, mangiferin, polifenol, serta produk seperti ekstrak kulit batang juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
117,105,Fakultas Ekonomi dan Bisnis,FEB,9,Bunga kertas,Bougainvillea × buttiana Holttum & Standl.,Nyctaginaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
118,106,Fakultas Ekonomi dan Bisnis,FEB,10,Bunga kertas,Bougainvillea × buttiana Holttum & Standl.,Nyctaginaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
119,107,Fakultas Ekonomi dan Bisnis,FEB,11,Bunga kertas,Bougainvillea × buttiana Holttum & Standl.,Nyctaginaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
120,108,Fakultas Ekonomi dan Bisnis,FEB,12,Puring,Codiaeum variegatum (L.) Rumph. ex A.Juss.,Euphorbiaceae,Daun; akar; kulit batang/batang; bagian lain bergantung kultivar dan sumber.,"Penggunaan tradisional berupa dekokta atau aplikasi lokal. Studi menggunakan ekstrak air, etanol atau hidroalkohol, fraksinasi, dan uji antimikroba, antiinflamasi, sitotoksik serta toksikologi; bukti dominan in vitro dan praklinik.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
121,109,Fakultas Ekonomi dan Bisnis,FEB,13,Bunga kertas,Bougainvillea glabra Choisy,Nyctaginaceae,Daun; braktea/bunga; batang atau akar pada penggunaan tradisional yang dirangkum.,"Infusa atau dekokta tradisional dan ekstrak pelarut diuji untuk fitokimia, aktivitas antimikroba, antijamur, dan antibiofilm. Bukti dominan in vitro/review serta tidak digeneralisasi ke hibrida Bougainvillea × buttiana.",Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
122,110,Fakultas Ekonomi dan Bisnis,FEB,14,Ravenia,Ravenia spectabilis (Lindl.) Engl.,Rutaceae,Daun.,"Daun dimaserasi dengan metanol; ekstrak dipartisi menjadi fraksi petroleum eter, karbon tetraklorida, kloroform, dan air. Senyawa diisolasi dan fraksi diuji antioksidan, antibakteri, serta trombolitik secara in vitro.",Tanaman Obat; Tanaman Estetik,2,Gangguan Hematologi; Penyakit Infeksi,2
123,111,Fakultas Ekonomi dan Bisnis,FEB,15,Tarlmounia,"Tarlmounia elliptica (DC.) H.Rob., S.C.Keeley, Skvarla & R.Chan",Asteraceae,Daun.,"Daun dikeringkan dan dibuat ekstrak air. Pada penelitian praklinik, ekstrak diberikan secara oral kepada kelinci model hiperlipidemia. Metode penelitian ini tidak diubah menjadi anjuran konsumsi manusia.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kardiovaskular,1
124,112,Fakultas Ekonomi dan Bisnis,FEB,16,Sirsak,Annona muricata L.,Annonaceae,Buah dan daging buah; daun; kulit batang; akar; biji.,"Buah dikonsumsi segar atau diolah sebagai pangan. Penggunaan tradisional mencakup infusa, dekokta, atau aplikasi topikal. Penelitian menggunakan ekstrak air, etanol, metanol, fraksinasi, isolasi senyawa, serta uji in vitro dan model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
125,113,Fakultas Ekonomi dan Bisnis,FEB,17,Durian,Durio zibethinus L.,Malvaceae,Daging buah; kulit atau rind; biji; tepung kulit; polisakarida kulit buah.,"Daging buah dikonsumsi segar atau difermentasi sebagai pangan. Penelitian mengolah kulit dan biji menjadi tepung, gum, ekstrak, atau fraksi polisakarida; dilakukan pengujian antiinflamasi, antimikroba, sitotoksik, penyembuhan luka, dan model konstipasi.",Tanaman Obat; Tanaman Buah dan Sayuran,2,Gangguan Sistem Pencernaan; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),5
126,114,Fakultas Ekonomi dan Bisnis,FEB,18,Cojoba,Cojoba arborea (L.) Britton & Rose,Fabaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
127,115,Fakultas Ekonomi dan Bisnis,FEB,19,Jambu bol,Syzygium malaccense (L.) Merr. & L.M.Perry,Myrtaceae,Buah; kulit buah; biji; daun; kulit batang atau batang.,"Buah dikonsumsi segar atau diolah sebagai pangan. Penelitian menggunakan ekstrak terstandar dan ekstrak pelarut dari daun, buah, atau batang untuk analisis fitokimia, antioksidan, dan penghambatan enzim terkait glikemia secara in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin,1
128,116,Fakultas Ekonomi dan Bisnis,FEB,20,Awar-awar,Ficus septica Burm.f.,Moraceae,Daun; akar; kulit batang; buah; lateks.,"Penggunaan tradisional mencakup rebusan, perasan, atau aplikasi topikal. Penelitian memakai ekstrak etanol, metanol, fraksi, dan isolasi senyawa untuk uji antimikroba, antiinflamasi, imunomodulator, sitotoksik, dan model praklinik.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),5
129,117,Fakultas Ekonomi dan Bisnis,FEB,21,Palem putri,Adonidia merrillii (Becc.) Becc.,Arecaceae,Buah dan perikarp; biji atau kernel dan minyak biji; daun; bunga.,"Penggunaan tradisional dan pangan dibedakan dari penelitian. Studi menggunakan ekstrak metanol atau pelarut lain dari buah, perikarp, dan biji, pengepresan atau analisis minyak, serta uji antibakteri dan sitotoksik in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
130,118,Fakultas Ekonomi dan Bisnis,FEB,22,Bambu raksasa,Dendrocalamus giganteus Munro,Poaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,3,,0
131,119,Fakultas Ekonomi dan Bisnis,FEB,23,Biola cantik,Ficus lyrata Warb.,Moraceae,Kulit batang; buah dalam catatan penggunaan pangan.,"Kulit batang dikeringkan dan dibuat ekstrak yang diberikan secara oral pada tikus dengan penyakit hati berlemak akibat diet tinggi lemak. Buah tercatat sebagai bahan pangan dalam basis data penggunaan, tetapi tidak digunakan sebagai dasar aktivitas farmakologi studi kulit batang.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi,4
132,120,Fakultas Ekonomi dan Bisnis,FEB,24,Teh-tehan,Acalypha siamensis Oliv. ex Gage,Euphorbiaceae,Daun.,"Daun diekstraksi dan dipartisi menggunakan heksana, diklorometana, etil asetat, dan metanol. Fraksi diuji terhadap bakteri dan kapang secara in vitro. Prosedur ini bukan anjuran penggunaan.",Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
133,121,Fakultas Ekonomi dan Bisnis,FEB,25,Glodokan tiang,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,Annonaceae,Daun; kulit batang dan batang; akar; buah; biji.,"Literatur menggunakan nama lama Polyalthia longifolia dan merangkum infusa/dekokta tradisional, ekstrak air, etanol, metanol, dan pelarut lain, fraksinasi serta isolasi senyawa, kemudian pengujian in vitro dan pada hewan. Buah/bagian tertentu juga dibahas dalam konteks nutrisi atau pakan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
134,122,Fakultas Ekonomi dan Bisnis,FEB,26,Tarlmounia,"Tarlmounia elliptica (DC.) H.Rob., S.C.Keeley, Skvarla & R.Chan",Asteraceae,Daun.,"Daun dikeringkan dan dibuat ekstrak air. Pada penelitian praklinik, ekstrak diberikan secara oral kepada kelinci model hiperlipidemia. Metode penelitian ini tidak diubah menjadi anjuran konsumsi manusia.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kardiovaskular,1
135,123,Fakultas Ekonomi dan Bisnis,FEB,27,Jambu mawar,Syzygium jambos (L.) Alston,Myrtaceae,Akar; batang dan kulit batang; daun; bunga; buah/daging buah; biji.,"Buah dikonsumsi segar atau diolah sebagai pangan. Daun, kulit batang, akar, bunga, dan biji digunakan sebagai infusa/dekokta atau diekstraksi dengan air, etanol, metanol, aseton, hidroalkohol, n-heksana, dan diklorometana. Ekstrak, fraksi, nanopartikel, dan senyawa terisolasi diuji in vitro serta in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
136,124,Fakultas Ekonomi dan Bisnis,FEB,28,Bunga kertas,Bougainvillea × buttiana Holttum & Standl.,Nyctaginaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
137,125,Fakultas Ekonomi dan Bisnis,FEB,29,Kamboja Jepang,Adenium multiflorum Klotzsch,Apocynaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
138,126,Fakultas Ekonomi dan Bisnis,FEB,30,Goji berry,Lycium barbarum L.,Solanaceae,Buah; pucuk dan daun muda; akar atau kulit akar pada penggunaan tradisional.,"Buah dikonsumsi segar atau dikeringkan, diseduh, dan digunakan sebagai bahan pangan. Penelitian menggunakan polisakarida buah yang diekstraksi dan dimurnikan untuk uji imunologi, metabolik, serta modulasi mikrobiota; penggunaan tradisional dicatat terpisah.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Endokrin; Gangguan Imunologi; Gangguan Mata (Oftalmologi); Gangguan Nutrisi,5
139,127,Fakultas Ekonomi dan Bisnis,FEB,31,Ketapang,Terminalia catappa L.,Combretaceae,Daun; kulit batang; buah dan daging buah; biji atau kernel.,"Buah atau kernel digunakan sebagai bahan pangan. Penggunaan tradisional mencakup infusa atau dekokta daun dan kulit batang. Penelitian menggunakan ekstrak air, etanol atau pelarut lain, fraksinasi, serta pengujian in vitro dan model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
140,128,Fakultas Ekonomi dan Bisnis,FEB,32,Paku tanduk rusa,Platycerium bifurcatum (Cav.) C.Chr.,Polypodiaceae,Daun/ental (frond),Daun dikeringkan lalu diekstraksi dengan etanol; ekstrak dipartisi dengan air dan kloroform untuk uji antibakteri/antioksidan; ekstrak etanol diberikan secara oral pada model tikus ulkus lambung.,Tanaman Obat; Tanaman Estetik,2,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginekologi dan Obstetri; Penyakit Infeksi,5
141,129,Fakultas Ekonomi dan Bisnis,FEB,33,Kamboja merah,Plumeria rubra L.,Apocynaceae,Akar; kulit batang dan batang; daun; bunga; buah dan biji; getah/lateks.,"Bagian tanaman digunakan sebagai dekokta atau infusa, serbuk, tumbukan/pasta, dan aplikasi getah secara topikal dalam laporan etnomedis. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk uji farmakologi dan toksikologi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
142,130,Fakultas Ekonomi dan Bisnis,FEB,34,Jambu biji,Psidium guajava L.,Myrtaceae,Akar; kulit batang dan batang; daun; bunga; buah dan kulit buah; biji.,"Buah dikonsumsi segar atau sebagai jus/pangan olahan. Daun, akar, dan kulit batang dibuat infusa atau dekokta; penelitian menggunakan ekstrak air, etanol, metanol, hidroalkohol, minyak atsiri, fraksi, dan senyawa terisolasi untuk penggunaan oral, topikal, serta pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
143,131,Fakultas Ekonomi dan Bisnis,FEB,35,Mangga,Mangifera indica L.,Anacardiaceae,Akar; kulit batang; daun; bunga; buah dan daging buah; kulit buah; biji/kernel; getah/lateks.,"Buah dikonsumsi segar atau sebagai jus dan produk pangan. Daun, kulit batang, kulit buah, akar, bunga, dan kernel dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, hidroalkohol, dan pelarut lain. Fraksi, mangiferin, polifenol, serta produk seperti ekstrak kulit batang juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
144,132,Fakultas Ekonomi dan Bisnis,FEB,36,Chlorophytum,Chlorophytum capense (L.) Voss,Asparagaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
145,133,Fakultas Ekonomi dan Bisnis,FEB,37,Sri rezeki,Aglaonema commutatum Schott,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
146,134,Fakultas Ekonomi dan Bisnis,FEB,38,Sambang darah hias,Excoecaria cochinchinensis Lour.,Euphorbiaceae,Bagian aerial; daun,"Bagian aerial dikeringkan, diserbukkan, dan diekstraksi berulang dengan metanol; ekstrak dipartisi bertahap dengan n-heksana, campuran n-heksana-etil asetat, dan etil asetat; penelitian lain menggunakan ekstrak air atau etanol daun.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Urologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),6
147,135,Fakultas Ekonomi dan Bisnis,FEB,39,Coleus,Coleus decurrens Gürke,Lamiaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
148,136,Fakultas Ekonomi dan Bisnis,FEB,40,Dracaena,Dracaena hyacinthoides (L.) Mabb.,Asparagaceae,Rimpang; daun.,"Sumber etnobotani resmi mencatat penggunaan rimpang dan daun untuk beberapa keluhan, namun tidak memberikan rincian pengolahan yang seragam. Tanaman juga ditanam sebagai groundcover atau tanaman pot; metode tradisional tidak diubah menjadi anjuran klinis.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Penyakit Infeksi,2
149,137,Fakultas Ekonomi dan Bisnis,FEB,41,Osmoxylon,Osmoxylon lineare (Merr.) Philipson,Araliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
150,138,Fakultas Ekonomi dan Bisnis,FEB,42,Lidah mertua,Dracaena trifasciata (Prain) Mabb.,Asparagaceae,Daun; rimpang; akar.,"Daun, rimpang, dan akar digunakan sebagai perasan, rebusan/dekokta, infusa, atau pasta/balur dalam laporan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, n-heksana, kloroform, dan fraksi pelarut yang diberikan secara oral atau topikal maupun diuji in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi,9
151,139,Fakultas Ekonomi dan Bisnis,FEB,43,Furcraea,Furcraea foetida (L.) Haw.,Asparagaceae,Bahan tanaman untuk isolasi saponin steroid; seluruh tanaman dalam konteks ornamental dan toksik.,"Penelitian melakukan ekstraksi, isolasi, dan karakterisasi kromatografi senyawa furcreastatin, kemudian menilai bioaktivitasnya secara laboratorium. Prosedur ini bukan anjuran penggunaan manusia.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Onkologi (Kanker),1
